,Name,Team,Number,Position,Age,Height,Weight,College,Salary,Age_Group
0,Avery Bradley,Boston Celtics,0,PG,25,175,180,Texas,7730337.0,21-25
1,Jae Crowder,Boston Celtics,99,SF,25,165,235,Marquette,6796117.0,21-25
2,John Holland,Boston Celtics,30,SG,27,153,205,Boston University,0.0,26-30
3,R.J. Hunter,Boston Celtics,28,SG,22,173,185,Georgia State,1148640.0,21-25
4,Jonas Jerebko,Boston Celtics,8,PF,29,159,231,No College,5000000.0,26-30
5,Amir Johnson,Boston Celtics,90,PF,29,157,240,No College,12000000.0,26-30
6,Jordan Mickey,Boston Celtics,55,PF,21,164,235,LSU,1170960.0,21-25
7,Kelly Olynyk,Boston Celtics,41,C,25,176,238,Gonzaga,2165160.0,21-25
8,Terry Rozier,Boston Celtics,12,PG,22,153,190,Louisville,1824360.0,21-25
9,Marcus Smart,Boston Celtics,36,PG,22,169,220,Oklahoma State,3431040.0,21-25
10,Jared Sullinger,Boston Celtics,7,C,24,179,260,Ohio State,2569260.0,21-25
11,Isaiah Thomas,Boston Celtics,4,PG,27,152,185,Washington,6912869.0,26-30
12,Evan Turner,Boston Celtics,11,SG,27,173,220,Ohio State,3425510.0,26-30
13,James Young,Boston Celtics,13,SG,20,151,215,Kentucky,1749840.0,15-20
14,Tyler Zeller,Boston Celtics,44,C,26,170,253,North Carolina,2616975.0,26-30
15,Bojan Bogdanovic,Brooklyn Nets,44,SG,27,176,216,No College,3425510.0,26-30
16,Markel Brown,Brooklyn Nets,22,SG,24,165,190,Oklahoma State,845059.0,21-25
17,Wayne Ellington,Brooklyn Nets,21,SG,28,159,200,North Carolina,1500000.0,26-30
18,Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,176,220,Arizona,1335480.0,21-25
19,Jarrett Jack,Brooklyn Nets,2,PG,32,165,200,Georgia Tech,6300000.0,31-35
20,Sergey Karasev,Brooklyn Nets,10,SG,22,179,208,No College,1599840.0,21-25
21,Sean Kilpatrick,Brooklyn Nets,6,SG,26,153,219,Cincinnati,134215.0,26-30
22,Shane Larkin,Brooklyn Nets,0,PG,23,180,175,Miami (FL),1500000.0,21-25
23,Brook Lopez,Brooklyn Nets,11,C,28,159,275,Stanford,19689000.0,26-30
24,Chris McCullough,Brooklyn Nets,1,PF,21,152,200,Syracuse,1140240.0,21-25
25,Willie Reed,Brooklyn Nets,33,PF,26,156,220,Saint Louis,947276.0,26-30
26,Thomas Robinson,Brooklyn Nets,41,PF,25,175,237,Kansas,981348.0,21-25
27,Henry Sims,Brooklyn Nets,14,C,26,152,248,Georgetown,947276.0,26-30
28,Donald Sloan,Brooklyn Nets,15,PG,28,152,205,Texas A&M,947276.0,26-30
29,Thaddeus Young,Brooklyn Nets,30,PF,27,180,221,Georgia Tech,11235955.0,26-30
30,Arron Afflalo,New York Knicks,4,SG,30,163,210,UCLA,8000000.0,26-30
31,Lou Amundson,New York Knicks,17,PF,33,177,220,UNLV,1635476.0,31-35
32,Thanasis Antetokounmpo,New York Knicks,43,SF,23,178,205,No College,30888.0,21-25
33,Carmelo Anthony,New York Knicks,7,SF,32,166,240,Syracuse,22875000.0,31-35
34,Jose Calderon,New York Knicks,3,PG,34,167,200,No College,7402812.0,31-35
35,Cleanthony Early,New York Knicks,11,SF,25,166,210,Wichita State,845059.0,21-25
36,Langston Galloway,New York Knicks,2,SG,24,156,200,Saint Joseph's,845059.0,21-25
37,Jerian Grant,New York Knicks,13,PG,23,178,195,Notre Dame,1572360.0,21-25
38,Robin Lopez,New York Knicks,8,C,28,180,255,Stanford,12650000.0,26-30
39,Kyle O'Quinn,New York Knicks,9,PF,26,163,250,Norfolk State,3750000.0,26-30
40,Kristaps Porzingis,New York Knicks,6,PF,20,159,240,No College,4131720.0,15-20
41,Kevin Seraphin,New York Knicks,1,C,26,151,278,No College,2814000.0,26-30
42,Lance Thomas,New York Knicks,42,SF,28,161,235,Duke,1636842.0,26-30
43,Sasha Vujacic,New York Knicks,18,SG,32,152,195,No College,947276.0,31-35
44,Derrick Williams,New York Knicks,23,PF,25,176,240,Arizona,4000000.0,21-25
45,Tony Wroten,New York Knicks,5,SG,23,161,205,Washington,167406.0,21-25
46,Elton Brand,Philadelphia 76ers,42,PF,37,152,254,Duke,0.0,36-40
47,Isaiah Canaan,Philadelphia 76ers,0,PG,25,176,201,Murray State,947276.0,21-25
48,Robert Covington,Philadelphia 76ers,33,SF,25,178,215,Tennessee State,1000000.0,21-25
49,Joel Embiid,Philadelphia 76ers,21,C,22,167,250,Kansas,4626960.0,21-25
50,Jerami Grant,Philadelphia 76ers,39,SF,22,172,210,Syracuse,845059.0,21-25
51,Richaun Holmes,Philadelphia 76ers,22,PF,22,156,245,Bowling Green,1074169.0,21-25
52,Carl Landry,Philadelphia 76ers,7,PF,32,165,248,Purdue,6500000.0,31-35
53,Kendall Marshall,Philadelphia 76ers,5,PG,24,156,200,North Carolina,2144772.0,21-25
54,T.J. McConnell,Philadelphia 76ers,12,PG,24,158,200,Arizona,525093.0,21-25
55,Nerlens Noel,Philadelphia 76ers,4,PF,22,158,228,Kentucky,3457800.0,21-25
56,Jahlil Okafor,Philadelphia 76ers,8,C,20,168,275,Duke,4582680.0,15-20
57,Ish Smith,Philadelphia 76ers,1,PG,27,180,175,Wake Forest,947276.0,26-30
58,Nik Stauskas,Philadelphia 76ers,11,SG,22,173,205,Michigan,2869440.0,21-25
59,Hollis Thompson,Philadelphia 76ers,31,SG,25,169,206,Georgetown,947276.0,21-25
60,Christian Wood,Philadelphia 76ers,35,PF,20,156,220,UNLV,525093.0,15-20
61,Bismack Biyombo,Toronto Raptors,8,C,23,179,245,No College,2814000.0,21-25
62,Bruno Caboclo,Toronto Raptors,20,SF,20,159,205,No College,1524000.0,15-20
63,DeMarre Carroll,Toronto Raptors,5,SF,29,171,212,Missouri,13600000.0,26-30
64,DeMar DeRozan,Toronto Raptors,10,SG,26,158,220,USC,10050000.0,26-30
65,James Johnson,Toronto Raptors,3,PF,29,180,250,Wake Forest,2500000.0,26-30
66,Cory Joseph,Toronto Raptors,6,PG,24,165,190,Texas,7000000.0,21-25
67,Kyle Lowry,Toronto Raptors,7,PG,30,161,205,Villanova,12000000.0,26-30
68,Lucas Nogueira,Toronto Raptors,92,C,23,153,220,No College,1842000.0,21-25
69,Patrick Patterson,Toronto Raptors,54,PF,27,180,235,Kentucky,6268675.0,26-30
70,Norman Powell,Toronto Raptors,24,SG,23,167,215,UCLA,650000.0,21-25
71,Terrence Ross,Toronto Raptors,31,SF,25,151,195,Washington,3553917.0,21-25
72,Luis Scola,Toronto Raptors,4,PF,36,159,240,No College,2900000.0,36-40
73,Jason Thompson,Toronto Raptors,1,PF,29,160,250,Rider,245177.0,26-30
74,Jonas Valanciunas,Toronto Raptors,17,C,24,171,255,No College,4660482.0,21-25
75,Delon Wright,Toronto Raptors,55,PG,24,180,190,Utah,1509360.0,21-25
76,Leandro Barbosa,Golden State Warriors,19,SG,33,178,194,No College,2500000.0,31-35
77,Harrison Barnes,Golden State Warriors,40,SF,24,171,225,North Carolina,3873398.0,21-25
78,Andrew Bogut,Golden State Warriors,12,C,31,180,260,Utah,13800000.0,31-35
79,Ian Clark,Golden State Warriors,21,SG,25,174,175,Belmont,947276.0,21-25
80,Stephen Curry,Golden State Warriors,30,PG,28,172,190,Davidson,11370786.0,26-30
81,Festus Ezeli,Golden State Warriors,31,C,26,153,265,Vanderbilt,2008748.0,26-30
82,Draymond Green,Golden State Warriors,23,PF,26,167,230,Michigan State,14260870.0,26-30
83,Andre Iguodala,Golden State Warriors,9,SF,32,171,215,Arizona,11710456.0,31-35
84,Shaun Livingston,Golden State Warriors,34,PG,30,173,192,No College,5543725.0,26-30
85,Kevon Looney,Golden State Warriors,36,SF,20,173,220,UCLA,1131960.0,15-20
86,James Michael McAdoo,Golden State Warriors,20,SF,23,168,240,North Carolina,845059.0,21-25
87,Brandon Rush,Golden State Warriors,4,SF,30,164,220,Kansas,1270964.0,26-30
88,Marreese Speights,Golden State Warriors,5,C,28,152,255,Florida,3815000.0,26-30
89,Klay Thompson,Golden State Warriors,11,SG,26,166,215,Washington State,15501000.0,26-30
90,Anderson Varejao,Golden State Warriors,18,PF,33,162,273,No College,289755.0,31-35
91,Cole Aldrich,Los Angeles Clippers,45,C,27,161,250,Kansas,1100602.0,26-30
92,Jeff Ayres,Los Angeles Clippers,19,PF,29,176,250,Arizona State,111444.0,26-30
93,Jamal Crawford,Los Angeles Clippers,11,SG,36,180,195,Michigan,5675000.0,36-40
94,Branden Dawson,Los Angeles Clippers,22,SF,23,157,225,Michigan State,525093.0,21-25
95,Jeff Green,Los Angeles Clippers,8,SF,29,168,235,Georgetown,9650000.0,26-30
96,Blake Griffin,Los Angeles Clippers,32,PF,27,164,251,Oklahoma,18907726.0,26-30
97,Wesley Johnson,Los Angeles Clippers,33,SF,28,178,215,Syracuse,1100602.0,26-30
98,DeAndre Jordan,Los Angeles Clippers,6,C,27,180,265,Texas A&M,19689000.0,26-30
99,Luc Richard Mbah a Moute,Los Angeles Clippers,12,PF,29,154,230,UCLA,947276.0,26-30
100,Chris Paul,Los Angeles Clippers,3,PG,31,173,175,Wake Forest,21468695.0,31-35
101,Paul Pierce,Los Angeles Clippers,34,SF,38,177,235,Kansas,3376000.0,36-40
102,Pablo Prigioni,Los Angeles Clippers,9,PG,39,180,185,No College,947726.0,36-40
103,JJ Redick,Los Angeles Clippers,4,SG,31,174,190,Duke,7085000.0,31-35
104,Austin Rivers,Los Angeles Clippers,25,PG,23,174,200,Duke,3110796.0,21-25
105,C.J. Wilcox,Los Angeles Clippers,30,SG,25,151,195,Washington,1159680.0,21-25
106,Brandon Bass,Los Angeles Lakers,2,PF,31,160,250,LSU,3000000.0,31-35
107,Tarik Black,Los Angeles Lakers,28,C,24,158,250,Kansas,845059.0,21-25
108,Anthony Brown,Los Angeles Lakers,3,SF,23,163,210,Stanford,700000.0,21-25
109,Kobe Bryant,Los Angeles Lakers,24,SF,37,171,212,No College,25000000.0,36-40
110,Jordan Clarkson,Los Angeles Lakers,6,PG,24,175,194,Missouri,845059.0,21-25
111,Roy Hibbert,Los Angeles Lakers,17,C,29,178,270,Georgetown,15592217.0,26-30
112,Marcelo Huertas,Los Angeles Lakers,9,PG,33,180,200,No College,525093.0,31-35
113,Ryan Kelly,Los Angeles Lakers,4,PF,25,152,230,Duke,1724250.0,21-25
114,Larry Nance Jr.,Los Angeles Lakers,7,PF,23,159,230,Wyoming,1155600.0,21-25
115,Julius Randle,Los Angeles Lakers,30,PF,21,163,250,Kentucky,3132240.0,21-25
116,D'Angelo Russell,Los Angeles Lakers,1,PG,20,175,195,Ohio State,5103120.0,15-20
117,Robert Sacre,Los Angeles Lakers,50,C,27,161,270,Gonzaga,981348.0,26-30
118,Louis Williams,Los Angeles Lakers,23,SG,29,162,175,No College,7000000.0,26-30
119,Metta World Peace,Los Angeles Lakers,37,SF,36,153,260,St. John's,947276.0,36-40
120,Nick Young,Los Angeles Lakers,0,SF,31,175,210,USC,5219169.0,31-35
121,Eric Bledsoe,Phoenix Suns,2,PG,26,153,190,Kentucky,13500000.0,26-30
122,Devin Booker,Phoenix Suns,1,SG,19,155,206,Kentucky,2127840.0,15-20
123,Chase Budinger,Phoenix Suns,10,SF,28,160,209,Arizona,206192.0,26-30
124,Tyson Chandler,Phoenix Suns,4,C,33,167,240,No College,13000000.0,31-35
125,Archie Goodwin,Phoenix Suns,20,SG,21,162,200,Kentucky,1160160.0,21-25
126,John Jenkins,Phoenix Suns,23,SG,25,169,215,Vanderbilt,981348.0,21-25
127,Brandon Knight,Phoenix Suns,3,PG,24,175,189,Kentucky,13500000.0,21-25
128,Alex Len,Phoenix Suns,21,C,22,176,260,Maryland,3807120.0,21-25
129,Jon Leuer,Phoenix Suns,30,PF,27,169,228,Wisconsin,1035000.0,26-30
130,Phil Pressey,Phoenix Suns,25,PG,25,164,175,Missouri,55722.0,21-25
131,Ronnie Price,Phoenix Suns,14,PG,32,171,190,Utah Valley,947276.0,31-35
132,Mirza Teletovic,Phoenix Suns,35,PF,30,180,242,No College,5500000.0,26-30
133,P.J. Tucker,Phoenix Suns,17,SF,31,160,245,Texas,5500000.0,31-35
134,T.J. Warren,Phoenix Suns,12,SF,22,178,230,North Carolina State,2041080.0,21-25
135,Alan Williams,Phoenix Suns,15,C,23,158,260,UC Santa Barbara,83397.0,21-25
136,Quincy Acy,Sacramento Kings,13,SF,25,169,240,Baylor,981348.0,21-25
137,James Anderson,Sacramento Kings,5,SG,27,151,213,Oklahoma State,1015421.0,26-30
138,Marco Belinelli,Sacramento Kings,3,SG,30,154,210,No College,6060606.0,26-30
139,Caron Butler,Sacramento Kings,31,SF,36,152,228,Connecticut,1449187.0,36-40
140,Omri Casspi,Sacramento Kings,18,SF,27,174,225,No College,2836186.0,26-30
141,Willie Cauley-Stein,Sacramento Kings,0,C,22,177,240,Kentucky,3398280.0,21-25
142,Darren Collison,Sacramento Kings,7,PG,28,158,175,UCLA,5013559.0,26-30
143,DeMarcus Cousins,Sacramento Kings,15,C,25,176,270,Kentucky,15851950.0,21-25
144,Seth Curry,Sacramento Kings,30,SG,25,167,185,Duke,947276.0,21-25
145,Duje Dukan,Sacramento Kings,26,PF,24,180,220,Wisconsin,525093.0,21-25
146,Rudy Gay,Sacramento Kings,8,SF,29,165,230,Connecticut,12403101.0,26-30
147,Kosta Koufos,Sacramento Kings,41,C,27,159,265,Ohio State,7700000.0,26-30
148,Ben McLemore,Sacramento Kings,23,SG,23,157,195,Kansas,3156600.0,21-25
149,Eric Moreland,Sacramento Kings,25,PF,24,154,238,Oregon State,845059.0,21-25
150,Rajon Rondo,Sacramento Kings,9,PG,30,165,186,Kentucky,9500000.0,26-30
151,Cameron Bairstow,Chicago Bulls,41,PF,25,171,250,New Mexico,845059.0,21-25
152,Aaron Brooks,Chicago Bulls,0,PG,31,162,161,Oregon,2250000.0,31-35
153,Jimmy Butler,Chicago Bulls,21,SG,26,151,220,Marquette,16407500.0,26-30
154,Mike Dunleavy,Chicago Bulls,34,SG,35,165,230,Duke,4500000.0,31-35
155,Cristiano Felicio,Chicago Bulls,6,PF,23,157,275,No College,525093.0,21-25
156,Pau Gasol,Chicago Bulls,16,C,35,166,250,No College,7448760.0,31-35
157,Taj Gibson,Chicago Bulls,22,PF,30,169,225,USC,8500000.0,26-30
158,Justin Holiday,Chicago Bulls,7,SG,27,180,185,Washington,947276.0,26-30
159,Doug McDermott,Chicago Bulls,3,SF,24,156,225,Creighton,2380440.0,21-25
160,Nikola Mirotic,Chicago Bulls,44,PF,25,153,220,No College,5543725.0,21-25
161,E'Twaun Moore,Chicago Bulls,55,SG,27,164,191,Purdue,1015421.0,26-30
162,Joakim Noah,Chicago Bulls,13,C,31,155,232,Florida,13400000.0,31-35
163,Bobby Portis,Chicago Bulls,5,PF,21,159,230,Arkansas,1391160.0,21-25
164,Derrick Rose,Chicago Bulls,1,PG,27,153,190,Memphis,20093064.0,26-30
165,Tony Snell,Chicago Bulls,20,SF,24,170,200,New Mexico,1535880.0,21-25
166,Matthew Dellavedova,Cleveland Cavaliers,8,PG,25,160,198,Saint Mary's,1147276.0,21-25
167,Channing Frye,Cleveland Cavaliers,9,PF,33,152,255,Arizona,8193029.0,31-35
168,Kyrie Irving,Cleveland Cavaliers,2,PG,24,154,193,Duke,16407501.0,21-25
169,LeBron James,Cleveland Cavaliers,23,SF,31,151,250,No College,22970500.0,31-35
170,Richard Jefferson,Cleveland Cavaliers,24,SF,35,160,233,Arizona,947276.0,31-35
171,Dahntay Jones,Cleveland Cavaliers,30,SG,35,175,225,Duke,0.0,31-35
172,James Jones,Cleveland Cavaliers,1,SG,35,155,218,Miami (FL),947276.0,31-35
173,Sasha Kaun,Cleveland Cavaliers,14,C,31,150,260,Kansas,1276000.0,31-35
174,Kevin Love,Cleveland Cavaliers,0,PF,27,177,251,UCLA,19689000.0,26-30
175,Jordan McRae,Cleveland Cavaliers,12,SG,25,173,179,Tennessee,111196.0,21-25
176,Timofey Mozgov,Cleveland Cavaliers,20,C,29,152,275,No College,4950000.0,26-30
177,Iman Shumpert,Cleveland Cavaliers,4,SG,25,152,220,Georgia Tech,8988765.0,21-25
178,J.R. Smith,Cleveland Cavaliers,5,SG,30,177,225,No College,5000000.0,26-30
179,Tristan Thompson,Cleveland Cavaliers,13,C,25,167,238,Texas,14260870.0,21-25
180,Mo Williams,Cleveland Cavaliers,52,PG,33,164,198,Alabama,2100000.0,31-35
181,Joel Anthony,Detroit Pistons,50,C,33,174,245,UNLV,2500000.0,31-35
182,Aron Baynes,Detroit Pistons,12,C,29,171,260,Washington State,6500000.0,26-30
183,Steve Blake,Detroit Pistons,22,PG,36,158,172,Maryland,2170465.0,36-40
184,Lorenzo Brown,Detroit Pistons,17,PG,25,159,189,North Carolina State,111444.0,21-25
185,Reggie Bullock,Detroit Pistons,25,SF,25,153,205,North Carolina,1252440.0,21-25
186,Kentavious Caldwell-Pope,Detroit Pistons,5,SG,23,178,205,Georgia,2891760.0,21-25
187,Spencer Dinwiddie,Detroit Pistons,8,PG,23,164,200,Colorado,845059.0,21-25
188,Andre Drummond,Detroit Pistons,0,C,22,168,279,Connecticut,3272091.0,21-25
189,Tobias Harris,Detroit Pistons,34,SF,23,168,235,Tennessee,16000000.0,21-25
190,Darrun Hilliard,Detroit Pistons,6,SF,23,169,205,Villanova,600000.0,21-25
191,Reggie Jackson,Detroit Pistons,1,PG,26,150,208,Boston College,13913044.0,26-30
192,Stanley Johnson,Detroit Pistons,3,SF,20,169,245,Arizona,2841960.0,15-20
193,Jodie Meeks,Detroit Pistons,20,SG,28,152,210,Kentucky,6270000.0,26-30
194,Marcus Morris,Detroit Pistons,13,PF,26,158,235,Kansas,5000000.0,26-30
195,Anthony Tolliver,Detroit Pistons,43,PF,31,175,240,Creighton,3000000.0,31-35
196,Lavoy Allen,Indiana Pacers,5,PF,27,153,255,Temple,4050000.0,26-30
197,Rakeem Christmas,Indiana Pacers,25,PF,24,158,250,Syracuse,1007026.0,21-25
198,Monta Ellis,Indiana Pacers,11,SG,30,161,185,No College,10300000.0,26-30
199,Paul George,Indiana Pacers,13,SF,26,170,220,Fresno State,17120106.0,26-30
200,George Hill,Indiana Pacers,3,PG,30,152,188,IUPUI,8000000.0,26-30
201,Jordan Hill,Indiana Pacers,27,C,28,179,235,Arizona,4000000.0,26-30
202,Solomon Hill,Indiana Pacers,44,SF,25,176,225,Arizona,1358880.0,21-25
203,Ty Lawson,Indiana Pacers,10,PG,28,155,195,North Carolina,211744.0,26-30
204,Ian Mahinmi,Indiana Pacers,28,C,29,163,250,No College,4000000.0,26-30
205,C.J. Miles,Indiana Pacers,0,SF,29,171,231,No College,4394225.0,26-30
206,Glenn Robinson III,Indiana Pacers,40,SG,22,161,222,Michigan,1100000.0,21-25
207,Rodney Stuckey,Indiana Pacers,2,PG,30,174,205,Eastern Washington,7000000.0,26-30
208,Myles Turner,Indiana Pacers,33,PF,20,151,243,Texas,2357760.0,15-20
209,Shayne Whittington,Indiana Pacers,42,PF,25,156,250,Western Michigan,845059.0,21-25
210,Joe Young,Indiana Pacers,1,PG,23,152,180,Oregon,1007026.0,21-25
211,Giannis Antetokounmpo,Milwaukee Bucks,34,SF,21,175,222,No College,1953960.0,21-25
212,Jerryd Bayless,Milwaukee Bucks,19,PG,27,179,200,Arizona,3000000.0,26-30
213,Michael Carter-Williams,Milwaukee Bucks,5,PG,24,157,190,Syracuse,2399040.0,21-25
214,Jared Cunningham,Milwaukee Bucks,9,SG,25,180,195,Oregon State,947276.0,21-25
215,Tyler Ennis,Milwaukee Bucks,11,PG,21,173,194,Syracuse,1662360.0,21-25
216,John Henson,Milwaukee Bucks,31,PF,25,168,229,North Carolina,2943221.0,21-25
217,Damien Inglis,Milwaukee Bucks,17,SF,21,166,246,No College,855000.0,21-25
218,O.J. Mayo,Milwaukee Bucks,3,SG,28,178,210,USC,8000000.0,26-30
219,Khris Middleton,Milwaukee Bucks,22,SG,24,175,234,Texas A&M,14700000.0,21-25
220,Greg Monroe,Milwaukee Bucks,15,C,26,165,265,Georgetown,16407500.0,26-30
221,Steve Novak,Milwaukee Bucks,6,SF,32,151,225,Marquette,295327.0,31-35
222,Johnny O'Bryant III,Milwaukee Bucks,77,PF,23,153,257,LSU,845059.0,21-25
223,Jabari Parker,Milwaukee Bucks,12,PF,21,174,250,Duke,5152440.0,21-25
224,Miles Plumlee,Milwaukee Bucks,18,C,27,153,249,Duke,2109294.0,26-30
225,Greivis Vasquez,Milwaukee Bucks,21,PG,29,171,217,Maryland,6600000.0,26-30
226,Rashad Vaughn,Milwaukee Bucks,20,SG,19,176,202,UNLV,1733040.0,15-20
227,Justin Anderson,Dallas Mavericks,1,SG,22,174,228,Virginia,1449000.0,21-25
228,J.J. Barea,Dallas Mavericks,5,PG,31,168,185,Northeastern,4290000.0,31-35
